Ders Kodu,Ders Adı,Teo.,Lab,Kredi,AKTS
EE 423,Fotonik,3,0,3,5
EE 424,Fiber Optik Haberleşme,3,0,3,5
EE 434,Sensörler ve Ölçüm Sistemleri,3,0,3,5
EE 440,Beyin - Sinir Mühendisliği,3,0,3,5
EE 443,Biyomedikal Enstrümantasyon ve Sinyal Analizi,3,0,3,5
EE 465,Veri Madenciliği,3,0,3,5
EE 473,Robotik Giriş,3,0,3,5
COMP 421,Blokzincir Teknolojisine Giriş,3,0,3,5
COMP 411,Haberleşme Ağları,3,0,3,5
COMP 413,Nesnelerin İnterneti,3,0,3,5
COMP 414,Ağ Güvenliği,3,0,3,5
COMP 405,Görüntü İşleme,3,0,3,5
COMP 431,Bilgisayar Görü,3,0,3,5
COMP 455,Mühendisler ve Bilim Adamları için Linux,3,0,3,6
COMP 461,Derin Öğrenme,3,0,3,5
COMP 462,Biyoenformatik,3,0,3,5
COMP 463,Hesaplamalı Genomik,3,0,3,5
COMP 464,Örüntü Tanıma,3,0,3,5
COMP 465,Yapay Zeka,3,0,3,5
COMP 482,Paralel Mimariler,3,0,3,5
COMP 415,Veri Gizliliği,3,0,3,5
COMP 417,Kriptografiye Giriş,3,0,3,5
COMP 468,Python'da Makine Öğrenmesi,3,0,3,5