Ders Kodu,Ders Adı,Ön Şart,Teo.,Lab.,Kredi,AKTS
EE 3001,Telecommunication System Design with DSP Capsule,EE 204,6,3,8,10
EE 3002,Embedded Control Systems Design Capsule,"EE 203, EE 204",6,3,8,10
EE 3003,Sensor System Design Capsule,EE 206,6,3,8,10
EE 3004,Optical System Design Capsule,EE 205,6,3,8,10
EE 3005,Biomedical System Design Capsule,-,6,3,8,10
EE 3006,Electromechanical Energy Conv. System Design Cap.,"EE 202, EE 205",6,3,8,10
EE 4001,High Frequency System Design Capsule,EE 205,6,3,8,10
EE 4002,Robotic System Design Capsule,"EE 3002, MATH 103",6,3,8,10
EE 4003,Power Electronics Motor Drives Design Capsule,"EE 206, EE 205, EE 202, EE 3006",6,3,8,10
EE 4004,Power System Analysis Capsule,-,6,2,7,10
XEE 301,Technical Transfer Elective I (Sadece Değişim Öğr.),-,3,0,3,5
XEE 302,Technical Transfer Elective II (Sadece Değişim Öğr.),-,3,0,3,5
XEE 303,General Transfer Elective (Sadece Değişim Öğr.),-,3,0,3,3