Kategori,AKTS,Ders Kodu,Ders Adı
Elective(seçmeli) I,,,
,3 ECTS,ARCG103,Architectural Image & Materials
,3 ECTS,ARCG105,Model Making
,3 ECTS,ARCG106,Arts & Crafts
,3 ECTS,ARCG108,Architecture as a Social Practice
,3 ECTS,ARCG109,Bicycle & the City
,3 ECTS,ARCG110,Organic Design; Back to the Nature
,3 ECTS,ARCG303,Anatolian Cities in History
,3 ECTS,ARCG304,Civilizations & Cities
,3 ECTS,ARCG305,Accessibility in Cities
,3 ECTS,ARCG307,Introduction to Islamic Art & Architecture
Elective(seçmeli) II,,,
,5 ECTS,ARCD101,Digital Fabrication
,5 ECTS,ARCD102,Site Analysis
,5 ECTS,ARCD103,Design Methods & Praxis
,5 ECTS,ARCD106,Product Design & Fabrication
,5 ECTS,ARCD107,Visual Culture
,5 ECTS,ARCD108,Production of Urban Space
,5 ECTS,ARCD110,Transit Architecture
,5 ECTS,ARCD111,Architectural Photography
,5 ECTS,ARCD112,Challenges of Global Urbanization
,5 ECTS,ARCD113,Architectural Sketching
,5 ECTS,ARCD114,Design Through De-Formation
,5 ECTS,ARCD151,Design Implementations
,5 ECTS,ARCD203,Alternative Construction Methods
,5 ECTS,ARCD204,Vernacular Architecture
,5 ECTS,ARCD301,Playing with the Past
,5 ECTS,ARCD302,Traditional Housing Culture in Anatolia
,5 ECTS,ARCD303,20th Century Architecture
,5 ECTS,ARCD305,Contemporary Issues in Cultural Heritage Studies
,5 ECTS,ARCD306,Anatolian Archaeology & Architecture
,5 ECTS,ARCD307,Palimpsest Cities: Kayseri
,5 ECTS,ARCD410,Global Perspectives on Urban Street Design
,5 ECTS,ARCD411,Urban Traffic Planning
,5 ECTS,ARCD412,Data Analysis & Planning Technics
,5 ECTS,ARCD413,Principles of Urban & Landscape Design
Elective(seçmeli) III,,,
,6 ECTS,ARCA101,Experimental Design Studio
,6 ECTS,ARCA102,Digital Design & Robotics
,6 ECTS,ARCA104,Design Fabrication
,6 ECTS,ARCA105,Design Practices Studio
,6 ECTS,ARCA301,Architectural Survey & Documentation
,6 ECTS,ARCA351,Practice in Architectural Conservation
,6 ECTS,ARCA401,Urban Mapping
Değişim/Transfer Dersleri (Exchange/Transfer Courses),,,
,,Ders Kodu,Ders Adı
,,ARCG401,General Transfer Elective 1
,,ARCG402,General Transfer Elective 2
,,ARCG403,General Transfer Elective 3
,,ARCX131,DLP Transfer Elective 1
,,ARCX132,DLP Transfer Elective 2
,,ARCX141,DLP Basic Level Transfer Elective 1
,,ARCX142,DLP Basic Level Transfer Elective 2
,,ARCD401,Exchange Transfer Elective 1
,,ARCD402,Exchange Transfer Elective 2
,,ARCD403,Exchange Transfer Elective 3
,,ARCD404,Exchange Transfer Elective 4
,,ARCX151,DLP Advanced Transfer Elective 1
,,ARCX152,DLP Advanced Transfer Elective 2